step,time_s,instance,u_mag_max_mm,u_x_max_mm,u_y_max_mm,u_z_max_mm,v_mag_max_mm_s,s_mises_max_MPa
Step-Separation,0.1190584572032094,Q1-INNERSKIN,2.16167950630188,0.479182,-0.033954844,2.1076267,59.82807540893555,163.79275512695312
Step-Separation,0.1190584572032094,Q1-OUTERSKIN,1.9181766510009766,0.37901402,0.22088145,1.8673408,12.011224746704102,101.87814331054688
Step-Separation,0.1190584572032094,Q2-CORE,4.6525678634643555,1.8336604,0.08034162,-4.2752337,20.152751922607422,2.605912923812866
Step-Separation,0.1190584572032094,Q2-INNERSKIN,4.652898788452148,1.8321515,0.064797774,-4.2765045,20.14032745361328,82.79148864746094
Step-Separation,0.1190584572032094,Q2-OUTERSKIN,4.448364734649658,1.7638968,0.59782577,-4.0397053,19.939088821411133,166.6312713623047
Step-Separation,0.121057596988976,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Separation,0.121057596988976,Q1-CORE,2.161163806915283,0.48251498,-0.023583923,2.1064787,60.38894271850586,3.045400857925415
Step-Separation,0.121057596988976,Q1-INNERSKIN,2.175743341445923,0.47677675,-0.03309671,2.122604,59.474388122558594,164.3762664794922
Step-Separation,0.121057596988976,Q1-OUTERSKIN,1.9323325157165527,0.37648734,0.22132094,1.8823346,11.99536418914795,101.80635833740234
Step-Separation,0.121057596988976,Q2-CORE,4.689412593841553,1.8434737,0.083397925,-4.3110604,19.89316177368164,2.605308771133423
Step-Separation,0.121057596988976,Q2-INNERSKIN,4.6897358894348145,1.8419712,0.06784826,-4.312327,19.89335060119629,82.69664001464844
Step-Separation,0.121057596988976,Q2-OUTERSKIN,4.4850568771362305,1.7731421,0.6013854,-4.0755415,19.78942108154297,166.5357666015625
Step-Separation,0.1230567367747426,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Separation,0.1230567367747426,Q1-CORE,2.175022840499878,0.48024285,-0.022754397,2.1212196,60.11542510986328,3.045363664627075
Step-Separation,0.1230567367747426,Q1-INNERSKIN,2.1898398399353027,0.47446433,-0.03222765,2.137579,59.16023635864258,164.95925903320312
Step-Separation,0.1230567367747426,Q1-OUTERSKIN,1.9465082883834839,0.3739718,0.22175772,1.8973305,12.00982666015625,101.73493194580078
Step-Separation,0.1230567367747426,Q2-CORE,4.7261881828308105,1.853261,0.08644013,-4.346816,20.169588088989258,2.6064043045043945
Step-Separation,0.1230567367747426,Q2-INNERSKIN,4.726504802703857,1.8517637,0.07088347,-4.348079,19.88365936279297,82.5851058959961
Step-Separation,0.1230567367747426,Q2-OUTERSKIN,4.521734714508057,1.7823262,0.6049661,-4.111376,19.834003448486328,166.50106811523438
