step,time_s,instance,u_mag_max_mm,u_x_max_mm,u_y_max_mm,u_z_max_mm,v_mag_max_mm_s,s_mises_max_MPa
Step-Preload,0.001804698258638382,Q1-INNERSKIN,0.00010135393677046522,-3.391072e-07,-0.00010135337,-2.5358029e-08,0.10905546694993973,0.0008185597835108638
Step-Preload,0.001804698258638382,Q1-OUTERSKIN,0.00010125751578016207,7.4637013e-10,-0.000101257516,5.619488e-10,0.1089973971247673,0.0006659592036157846
Step-Preload,0.001804698258638382,Q2-CORE,0.0001013499204418622,3.3329738e-07,-0.00010134937,-2.8936844e-08,0.10905390977859497,9.812748658077908e-07
Step-Preload,0.001804698258638382,Q2-INNERSKIN,0.00010135626507690176,3.3329928e-07,-0.00010135571,-2.8911224e-08,0.10904427617788315,2.705049882933963e-05
Step-Preload,0.001804698258638382,Q2-OUTERSKIN,0.00010125754488399252,5.617375e-10,-0.000101257545,-7.494529e-10,0.10894258320331573,2.538543412811123e-05
Step-Preload,0.0020046979188919067,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0020046979188919067,Q1-CORE,0.00012423917360138148,-4.0238555e-07,-0.00012423852,-3.185582e-08,0.12007033079862595,6.012967060087249e-05
Step-Preload,0.0020046979188919067,Q1-INNERSKIN,0.0001242442085640505,-4.023887e-07,-0.00012424355,-3.1861372e-08,0.12070673704147339,0.0009667927515693009
Step-Preload,0.0020046979188919067,Q1-OUTERSKIN,0.00012413732474669814,7.589121e-10,-0.00012413732,1.5483471e-09,0.12006282061338425,0.0007841935148462653
Step-Preload,0.0020046979188919067,Q2-CORE,0.0001242395956069231,3.8870272e-07,-0.00012423898,-4.239748e-08,0.11991015821695328,1.0083265351568116e-06
Step-Preload,0.0020046979188919067,Q2-INNERSKIN,0.00012424460146576166,3.8870527e-07,-0.00012424399,-4.2382887e-08,0.11991013586521149,3.277231371612288e-05
Step-Preload,0.0020046979188919067,Q2-OUTERSKIN,0.00012413733929861337,-9.931129e-10,-0.00012413734,1.322183e-09,0.11987688392400742,2.934938129328657e-05
Step-Preload,0.002304697409272194,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.002304697409272194,Q1-CORE,0.0001626000739634037,-4.8408043e-07,-0.00016259935,-4.7499014e-08,0.13606037199497223,6.782609852962196e-05
Step-Preload,0.002304697409272194,Q1-INNERSKIN,0.00016260473057627678,-4.840891e-07,-0.000162604,-4.740344e-08,0.1358889937400818,0.0010265859309583902
Step-Preload,0.002304697409272194,Q1-OUTERSKIN,0.00016254631918855011,7.099415e-08,-0.00016254622,1.7245547e-07,0.1360321044921875,0.0010423256317153573
Step-Preload,0.002304697409272194,Q2-CORE,0.00016260005941148847,-4.840994e-07,-0.00016259933,4.7491987e-08,0.13584348559379578,1.0067089988297084e-06
Step-Preload,0.002304697409272194,Q2-INNERSKIN,0.00016260471602436155,-4.841081e-07,-0.00016260399,4.739647e-08,0.13583320379257202,3.8621721614617854e-05
Step-Preload,0.002304697409272194,Q2-OUTERSKIN,0.00016249042528215796,4.2008956e-09,-0.00016249043,-1.2145659e-09,0.1358293890953064,3.320712858112529e-05
Step-Preload,0.0025046970695257187,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0025046970695257187,Q1-CORE,0.00019079710182268173,-5.4252683e-07,-0.00019079632,-5.497895e-08,0.14645639061927795,6.888310599606484e-05
Step-Preload,0.0025046970695257187,Q1-INNERSKIN,0.0001908026752062142,-5.425391e-07,-0.00019080189,-5.4847153e-08,0.14622515439987183,0.0008868497097864747
Step-Preload,0.0025046970695257187,Q1-OUTERSKIN,0.00019077581237070262,4.903616e-08,-0.00019077568,2.1989322e-07,0.14637909829616547,0.001223892904818058
Step-Preload,0.0025046970695257187,Q2-CORE,0.0001907970872707665,-5.42555e-07,-0.0001907963,5.496434e-08,0.14619579911231995,1.020552872432745e-06
Step-Preload,0.0025046970695257187,Q2-INNERSKIN,0.00019080266065429896,-5.425673e-07,-0.00019080187,5.4832583e-08,0.14619247615337372,4.0646842535352334e-05
Step-Preload,0.0025046970695257187,Q2-OUTERSKIN,0.00019068621622864157,7.881008e-09,-0.00019068622,-2.1150213e-09,0.14614883065223694,3.301501055830158e-05
Step-Preload,0.002804696559906006,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.002804696559906006,Q1-CORE,0.00023693000548519194,-6.238504e-07,-0.00023692916,-7.4468694e-08,0.1615791916847229,7.775135600240901e-05
Step-Preload,0.002804696559906006,Q1-INNERSKIN,0.000236938038142398,-6.238603e-07,-0.0002369372,-7.439322e-08,0.16149942576885223,0.0012299696682021022
Step-Preload,0.002804696559906006,Q1-OUTERSKIN,0.00023687798238825053,8.172218e-09,-0.0002368778,2.9508652e-07,0.1614392101764679,0.001429642317816615
Step-Preload,0.002804696559906006,Q2-CORE,0.00023693147522863,6.2191776e-07,-0.00023693065,-6.9431195e-08,0.1613920032978058,8.859207696332305e-07
Step-Preload,0.002804696559906006,Q2-INNERSKIN,0.0002369394787820056,6.219272e-07,-0.00023693865,-6.935802e-08,0.16140080988407135,4.14091809943784e-05
Step-Preload,0.002804696559906006,Q2-OUTERSKIN,0.00023681657330598682,-1.8347084e-08,-0.00023681657,3.9557873e-09,0.16132894158363342,3.5220145946368575e-05
Step-Preload,0.0030046964529901743,ADAPTER,0.0,0.0,0.0,0.0,0.0,0.0
Step-Preload,0.0030046964529901743,Q1-CORE,0.0002701868361327797,-6.771692e-07,-0.00027018596,-9.326322e-08,0.17136213183403015,8.373011951334774e-05
