node_id,x,y,z,ux,uy,uz,temp,defect_label
148,2580.3533,0.0,548.47107,-0.38067755,-0.16605365,-0.34994075,120.0,0
149,2590.328,0.0,499.24478,-0.36781365,-0.15547284,-0.35758364,120.0,0
150,2599.3635,0.0,449.83755,-0.35509756,-0.14435421,-0.36547005,120.0,0
151,2607.4565,0.0,400.26724,-0.342534,-0.13270153,-0.3735972,120.0,0
152,2614.6047,0.0,350.55182,-0.3301274,-0.12051942,-0.381962,120.0,0
153,2620.805,0.0,300.70935,-0.3178823,-0.10781201,-0.3905615,120.0,0
154,2626.055,0.0,250.75784,-0.30580318,-0.09458392,-0.39939263,120.0,0
155,2630.353,0.0,200.71544,-0.29389435,-0.08084005,-0.4084521,120.0,0
156,2633.6978,0.0,150.60028,-0.28216016,-0.06658543,-0.41773662,120.0,0
157,2636.0876,0.0,100.43053,-0.27060488,-0.051825106,-0.4272429,120.0,0
158,2637.522,0.0,50.22437,-0.25923264,-0.03656448,-0.43696743,120.0,0
159,2638.0,50.0,0.0,-0.22247672,-0.010808986,-0.43097827,120.0,0
160,2638.0,100.0,0.0,-0.19690575,-0.0008089856,-0.4150498,120.0,0
161,2638.0,150.0,0.0,-0.17133479,0.009191015,-0.39912128,120.0,0
162,2638.0,200.0,0.0,-0.14576381,0.019191014,-0.3831928,120.0,0
163,2638.0,250.0,0.0,-0.12019285,0.029191015,-0.3672643,120.0,0
164,2638.0,300.0,0.0,-0.09462188,0.039191015,-0.35133582,120.0,0
165,2638.0,350.0,0.0,-0.069050916,0.049191013,-0.33540735,120.0,0
166,2638.0,400.0,0.0,-0.043479953,0.059191015,-0.31947884,120.0,0
167,2638.0,450.0,0.0,-0.017908987,0.069191016,-0.30355036,120.0,0
168,2638.0,500.0,0.0,0.00766198,0.079191014,-0.28762186,120.0,0
169,2638.0,550.0,0.0,0.033232946,0.08919101,-0.27169338,120.0,0
170,2638.0,600.0,0.0,0.058803912,0.09919102,-0.25576487,120.0,0
171,2638.0,650.0,0.0,0.084374875,0.109191015,-0.2398364,120.0,0
172,2638.0,700.0,0.0,0.10994584,0.11919101,-0.2239079,120.0,0
173,2638.0,750.0,0.0,0.1355168,0.12919101,-0.20797941,120.0,0
174,2638.0,800.0,0.0,0.16108778,0.13919102,-0.19205092,120.0,0
175,2638.0,850.0,0.0,0.18665874,0.149191,-0.17612244,120.0,0
176,2638.0,900.0,0.0,0.21222971,0.15919101,-0.16019395,120.0,0
177,2638.0,950.0,0.0,0.23780067,0.16919102,-0.14426546,120.0,0
178,2638.0,1000.0,0.0,0.26337165,0.17919101,-0.12833697,120.0,0
179,2638.0,1050.0,0.0,0.2889426,0.18919101,-0.112408474,120.0,0
180,2638.0,1100.0,0.0,0.31451356,0.19919102,-0.09647999,120.0,0
181,2638.0,1150.0,0.0,0.34008455,0.20919101,-0.0805515,120.0,0
182,2638.0,1200.0,0.0,0.3656555,0.21919101,-0.064623006,120.0,0
183,2638.0,1250.0,0.0,0.39122647,0.22919102,-0.048694517,120.0,0
184,2638.0,1300.0,0.0,0.41679743,0.23919101,-0.032766026,120.0,0
185,2638.0,1350.0,0.0,0.4423684,0.24919102,-0.016837537,120.0,0
186,2638.0,1400.0,0.0,0.46793938,0.259191,-0.00090904755,120.0,0
187,2638.0,1450.0,0.0,0.49351034,0.26919103,0.015019442,120.0,0
188,2638.0,1500.0,0.0,0.5190813,0.27919102,0.030947933,120.0,0
189,2638.0,1550.0,0.0,0.5446523,0.289191,0.046876423,120.0,0
190,2638.0,1600.0,0.0,0.5702232,0.29919103,0.062804915,120.0,0
191,2638.0,1650.0,0.0,0.5957942,0.30919102,0.0787334,120.0,0
192,2638.0,1700.0,0.0,0.6213652,0.319191,0.09466189,120.0,0
193,2638.0,1750.0,0.0,0.6469361,0.32919103,0.11059038,120.0,0
194,2638.0,1800.0,0.0,0.6725071,0.33919102,0.12651888,120.0,0
195,2638.0,1850.0,0.0,0.69807804,0.349191,0.14244737,120.0,0
196,2638.0,1900.0,0.0,0.723649,0.359191,0.15837584,120.0,0
197,2638.0,1950.0,0.0,0.74922,0.36919102,0.17430434,120.0,0
